,username,nickname,twitter_link,github_link,linkedin_link,website_link,interests,articles_count,papers_count,models_count,spaces_count,datasets_count,organizations_count,followers_count,following_count
98,Maxime Labonne,mlabonne,https://twitter.com/maximelabonne,https://github.com/mlabonne,https://www.linkedin.com/in/maxime-labonne,https://mlabonne.github.io/blog,"Post-training, model editing, quantization",6,9,128,17,40,0,2462,67
301,Tom Aarsen,tomaarsen,https://twitter.com/tomaarsen,https://github.com/tomaarsen,https://linkedin.com/in/tomaarsen,https://linkedin.com/in/tomaarsen,"NLP: text embeddings, information retrieval, named entity recognition, few-shot text classification",7,9,82,1,12,0,484,111
440,Noa Roggendorff,nroggendorff,https://twitter.com/noaroggendorff,https://github.com/nroggendorff,,https://huggingface.co/spaces/nroggendorff/nroggendorff,"Large language models, Illusion Diffusion, Stable Diffusion, Stable Video Diffusion",6,3,22,18,12,0,71,14
461,Katie Link,katielink,https://twitter.com/katieelink,https://github.com/katielink,,https://katielink.com,Machine Learning for Health,1,2,14,7,23,0,1527,57
469,Florent Daudens,fdaudens,https://twitter.com/fdaudens,https://github.com/fdaudens,https://www.linkedin.com/in/fdaudens,,AI & Journalism,2,1,0,6,9,0,204,162
558,Vaibhav Srivastav,reach-vb,https://twitter.com/reach_vb,https://github.com/Vaibhavs10,,,TTS + LM performance prediction,11,1,77,24,31,0,278,33
718,Diwank Tomer,diwank,https://twitter.com/diwanksingh,https://github.com/creatorrr,,https://diwank.name,None yet,1,5,12,0,20,0,25,38
781,Gabriel Martín Blázquez,gabrielmbmb,https://twitter.com/gabrielmbmb_,https://github.com/gabrielmbmb,https://www.linkedin.com/in/gabrielmbmb,https://gabrielmb.com,ML Engineer,1,4,8,1,24,0,47,40
784,Pierre-Carl Langlais,Pclanglais,https://twitter.com/Dorialexander,,,,Open data & open LLMs,4,9,28,9,8,0,148,52
852,Ken Tsui,kenhktsui,https://twitter.com/kenhktsui,https://github.com/kenhktsui,,,ML Engineer Lead. Researcher on Small Language Model - Building Classifiers to Find High Quality Data,1,1,8,0,28,0,13,11
854,Omar Sanseviero,osanseviero,https://twitter.com/osanseviero,https://github.com/osanseviero,https://www.linkedin.com/in/omarsanseviero,https://osanseviero.github.io/hackerllama/,"Llamas, model merging, massive ASR for data collection, 3D ML, on-device ML, quantization, model judging, ML in browser, healthcare applications, education, intersection of art and ML.🦙",24,12,288,176,35,0,2179,419
867,Julien Chaumond,julien-c,,https://github.com/julien-c,https://www.linkedin.com/in/julienchaumond,https://huggingface.co,"<3 ML/AI for everyone, building products to propel communities fwd",4,5,44,28,12,0,1433,426
907,Tim Dolan,macadeliccc,,https://github.com/tdolan21,https://www.linkedin.com/in/tim-dolan-python-dev,https://www.linkedin.com/in/tim-dolan-python-dev,None yet,1,11,131,10,14,0,126,26
934,Ali Elfilali,Ali-C137,https://twitter.com/alielfilali01,https://github.com/alielfilali01,,,"NLP (mainly for Arabic), Reinforcement Learning and Cognitive science",1,4,41,15,26,0,138,66
941,Wolfram Ravenwolf,wolfram,https://twitter.com/WolframRvnwlf,,,https://ko-fi.com/wolframravenwolf,Local LLMs,2,0,15,0,0,0,145,12
985,Arthur Zucker,ArthurZ,https://twitter.com/art_zucker,https://github.com/ArthurZucker,,,None yet,2,1,74,0,0,0,237,16
988,Aymeric Roucher,m-ric,https://twitter.com/AymericRoucher,https://github.com/aymeric-roucher,,http://a-roucher.github.io,"MLE at Hugging Face 🤗
LLMs, Agents, RAG, Multimodal.",4,10,1,15,14,0,263,75
992,Alvaro Bartolome,alvarobartt,https://twitter.com/alvarobartt,https://github.com/alvarobartt,https://www.linkedin.com/in/alvarobartt,https://alvarobartt.github.io/,☁️ cloud machine learning @huggingface and open source passionate,6,8,19,0,53,0,1226,42
993,Nishith Jain,KingNish,,https://github.com/KingNish24,,,Trying to make AI fun and Easy for Non-Techy.,3,3,19,9,2,0,765,8
1004,Moritz Laurer,MoritzLaurer,https://twitter.com/MoritzLaurer,https://github.com/MoritzLaurer,https://www.linkedin.com/in/moritz-laurer/,https://www.linkedin.com/in/moritz-laurer/,None yet,2,5,37,5,19,0,192,44
